full_name,neo,pha,sats,diameter,GM,BV,UB,IR,per_y,pdes,name
1 Ceres (A801 AA),N,N,0,939.4,62.6284,0.713,0.426,,4.6,1,Ceres
2 Pallas (A802 FA),N,N,0,513,13.63,0.635,0.284,,4.61,2,Pallas
3 Juno (A804 RA),N,N,0,246.596,,0.824,0.433,,4.36,3,Juno
4 Vesta (A807 FA),N,N,0,525.4,17.288245,0.782,0.492,,3.63,4,Vesta
5 Astraea (A845 XA),N,N,0,106.699,,0.826,0.411,,4.14,5,Astraea
6 Hebe (A847 NA),N,N,0,185.18,,0.822,0.399,,3.78,6,Hebe
7 Iris (A847 PA),N,N,0,199.83,,0.855,0.484,,3.69,7,Iris
8 Flora (A847 UA),N,N,0,147.491,,0.885,0.489,,3.27,8,Flora
9 Metis (A848 HA),N,N,0,190,,0.858,0.496,,3.69,9,Metis
10 Hygiea (A849 GA),N,N,0,407.12,7,0.696,0.351,,5.57,10,Hygiea
11 Parthenope (A850 JA),N,N,0,142.887,,0.837,0.417,,3.84,11,Parthenope
12 Victoria (A850 RA),N,N,0,115.087,,0.874,0.515,,3.57,12,Victoria
13 Egeria (A850 VA),N,N,0,202.636,,0.745,0.452,,4.14,13,Egeria
14 Irene (A851 KA),N,N,0,152,,0.833,0.388,,4.17,14,Irene
15 Eunomia (A851 OA),N,N,0,231.689,,0.839,0.451,,4.3,15,Eunomia
16 Psyche (A852 FA),N,N,0,222,1.53,0.729,0.299,,5,16,Psyche
17 Thetis (A852 HA),N,N,0,84.899,,0.829,0.438,,3.88,17,Thetis
18 Melpomene (A852 MA),N,N,0,139.594,,0.854,0.425,,3.48,18,Melpomene
19 Fortuna (A852 QA),N,N,0,200,,0.719,0.324,,3.82,19,Fortuna
20 Massalia (A852 SA),N,N,0,135.680,,0.854,0.463,,3.74,20,Massalia
21 Lutetia (A852 VA),N,N,0,95.76,,0.686,0.189,,3.8,21,Lutetia
22 Kalliope (A852 WA),N,N,1,167.536,0.491,0.715,0.234,,4.97,22,Kalliope
23 Thalia (A852 XA),N,N,0,107.53,,0.859,0.442,,4.26,23,Thalia
24 Themis (A853 GA),N,N,0,198,,0.684,0.336,,5.57,24,Themis
26 Proserpina (A853 JA),N,N,0,94.80,,0.891,0.525,,4.33,26,Proserpina
27 Euterpe (A853 VA),N,N,0,96,,0.878,0.502,,3.6,27,Euterpe
28 Bellona (A854 EA),N,N,0,120.90,,0.845,0.469,,4.63,28,Bellona
29 Amphitrite (A854 EB),N,N,0,189.559,,0.838,0.449,,4.08,29,Amphitrite
30 Urania (A854 OA),N,N,0,92.787,,0.873,0.459,,3.64,30,Urania
31 Euphrosyne (A854 RA),N,N,1,267.080,,0.687,0.317,,5.62,31,Euphrosyne
32 Pomona (A854 UA),N,N,0,80.76,,0.857,0.429,,4.16,32,Pomona
34 Circe (A855 GA),N,N,0,132.992,,0.707,0.357,,4.4,34,Circe
35 Leukothea (A855 HA),N,N,0,103.055,,0.703,0.335,,5.22,35,Leukothea
36 Atalante (A855 TA),N,N,0,132.842,,0.713,0.363,,4.55,36,Atalante
37 Fides (A855 TB),N,N,0,108.35,,0.843,0.414,,4.29,37,Fides
38 Leda (A856 AA),N,N,0,92.255,,0.726,0.419,,4.54,38,Leda
39 Laetitia (A856 CA),N,N,0,179.484,,0.898,0.494,,4.61,39,Laetitia
40 Harmonia (A856 FA),N,N,0,111.251,,0.854,0.432,,3.41,40,Harmonia
41 Daphne (A856 KA),N,N,1,205.495,,0.726,0.363,,4.61,41,Daphne
42 Isis (A856 KB),N,N,0,110.997,,0.874,0.462,,3.82,42,Isis
45 Eugenia (A857 MA),N,N,2,202.327,,0.676,0.274,,4.49,45,Eugenia
46 Hestia (A857 QA),N,N,0,131.471,,0.692,0.226,,4.01,46,Hestia
47 Aglaja (A857 RA),N,N,0,168.174,,0.665,0.300,,4.9,47,Aglaja
48 Doris (A857 SA),N,N,0,216.473,,0.716,0.442,,5.49,48,Doris
49 Pales (A857 SB),N,N,0,166.252,,0.749,0.411,,5.46,49,Pales
50 Virginia (A857 TA),N,N,0,84.074,,0.703,0.347,,4.32,50,Virginia
51 Nemausa (A858 BA),N,N,0,138.159,,0.789,0.482,,3.64,51,Nemausa
52 Europa (A858 CA),N,N,0,303.918,,0.679,0.338,,5.44,52,Europa
53 Kalypso (A858 GA),N,N,0,97.262,,0.705,0.318,,4.24,53,Kalypso
54 Alexandra (A858 RA),N,N,0,160.120,,0.727,0.357,,4.47,54,Alexandra
55 Pandora (A858 RB),N,N,0,84.794,,0.704,0.242,,4.58,55,Pandora
56 Melete (A857 RB),N,N,0,121.333,,0.697,0.312,,4.19,56,Melete
57 Mnemosyne (A859 SA),N,N,0,112.59,,0.817,0.410,,5.6,57,Mnemosyne
58 Concordia (A860 FA),N,N,0,106.517,,0.690,0.370,,4.44,58,Concordia
59 Elpis (A860 RA),N,N,0,165.119,,0.662,0.285,,4.47,59,Elpis
61 Danae (A860 RC),N,N,0,85.937,,0.852,0.402,,5.16,61,Danae
62 Erato (A860 RD),N,N,0,106.921,,0.708,0.378,,5.54,62,Erato
63 Ausonia (A861 CA),N,N,0,116.044,,0.916,0.500,,3.71,63,Ausonia
65 Cybele (A861 EB),N,N,0,237.26,,0.690,0.271,,6.3,65,Cybele
68 Leto (A861 HB),N,N,0,122.509,,0.845,0.488,,4.64,68,Leto
