"spkid","full_name","neo","pha","sats","diameter","GM","BV","UB","IR","per_y"
20000433,"   433 Eros (A898 PA)",Y,N,0,16.84,4.463e-04,0.921,0.531,,1.76
20000887,"   887 Alinda (A918 AA)",Y,N,0,4.2,,0.832,0.436,,3.89
20001036,"  1036 Ganymed (A924 UB)",Y,N,0,37.675,,0.842,0.417,,4.35
20001221,"  1221 Amor (1932 EA1)",Y,N,0,1.0,,,,,2.66
20001566,"  1566 Icarus (1949 MA)",Y,Y,0,1.0,,0.774,0.520,,1.12
20001580,"  1580 Betulia (1950 KA)",Y,N,0,5.8,,0.656,0.249,,3.25
20001620,"  1620 Geographos (1951 RA)",Y,Y,0,2.56,,0.862,0.471,,1.39
20001627,"  1627 Ivar (1929 SH)",Y,N,0,9.12,,0.872,0.459,,2.54
20001685,"  1685 Toro (1948 OA)",Y,N,0,3.4,,0.880,0.470,,1.6
20001862,"  1862 Apollo (1932 HA)",Y,Y,1,1.5,,0.819,0.481,,1.78
20001863,"  1863 Antinous (1948 EA)",Y,N,0,2.1,,0.763,0.359,,3.4
20001864,"  1864 Daedalus (1971 FA)",Y,N,0,3.7,,0.830,0.500,,1.77
20001865,"  1865 Cerberus (1971 UA)",Y,N,0,1.2,,0.790,0.442,,1.12
20001866,"  1866 Sisyphus (1972 XA)",Y,N,1,8.48,,,,,2.61
20001915,"  1915 Quetzalcoatl (1953 EA)",Y,N,0,0.5,,0.784,0.430,,4.06
20001916,"  1916 Boreas (1953 RA)",Y,N,0,3.5,,0.852,0.407,,3.43
20001917,"  1917 Cuyo (1968 AA)",Y,N,0,5.7,,,,,3.15
20001943,"  1943 Anteros (1973 EC)",Y,N,0,2.3,,0.841,0.444,,1.71
20001980,"  1980 Tezcatlipoca (1950 LA)",Y,N,0,4.3,,0.955,0.455,,2.24
20001981,"  1981 Midas (1973 EA)",Y,Y,0,3.4,,,,,2.37
20002061,"  2061 Anza (1960 UA)",Y,N,0,2.6,,0.825,0.350,,3.41
20002062,"  2062 Aten (1976 AA)",Y,N,0,1.1,,0.930,0.460,,0.951
20002063,"  2063 Bacchus (1977 HB)",Y,N,0,1.024,,,,,1.12
20002100,"  2100 Ra-Shalom (1978 RA)",Y,N,0,2.3,,0.712,0.310,,0.759
20002101,"  2101 Adonis (1936 CA)",Y,Y,0,0.6,,,,,2.57
20002102,"  2102 Tantalus (1975 YA)",Y,Y,0,1.649,,,,,1.47
20002201,"  2201 Oljato (1947 XC)",Y,Y,0,1.80,,,,,3.22
20002212,"  2212 Hephaistos (1978 SB)",Y,N,0,5.7,,0.766,0.397,,3.19
20002340,"  2340 Hathor (1976 UA)",Y,Y,0,0.3,,0.770,0.500,,0.775
20002368,"  2368 Beltrovata (1977 RA)",Y,N,0,2.3,,0.830,0.520,,3.05
20002608,"  2608 Seneca (1978 DA)",Y,N,0,0.9,,0.826,0.454,,4.03
20003102,"  3102 Krok (1981 QA)",Y,N,0,1.6,,0.834,0.521,,3.15
20003103,"  3103 Eger (1982 BB)",Y,N,0,1.5,,0.732,0.235,,1.66
20003122,"  3122 Florence (1981 ET3)",Y,Y,2,4.9,,,,,2.35
20003199,"  3199 Nefertiti (1982 RA)",Y,N,0,2.2,,0.895,0.418,,1.98
20003200,"  3200 Phaethon (1983 TB)",Y,Y,0,6.25,,,,,1.43
20003288,"  3288 Seleucus (1982 DV)",Y,N,0,2.8,,0.910,0.500,,2.9
20003360,"  3360 Syrinx (1981 VA)",Y,N,0,1.8,,,,,3.88
20003361,"  3361 Orpheus (1982 HR)",Y,Y,0,0.3,,1.022,0.503,,1.33
20003362,"  3362 Khufu (1984 QA)",Y,Y,0,0.7,,,,,0.984
20003551,"  3551 Verenia (1983 RD)",Y,N,0,0.9,,0.839,0.481,,3.03
20003552,"  3552 Don Quixote (1983 SA)",Y,N,0,19.0,,,,,8.81
20003554,"  3554 Amun (1986 EB)",Y,N,0,3.341,,0.707,0.235,,0.961
20003671,"  3671 Dionysus (1984 KD)",Y,Y,1,1.5,,,,,3.26
20003691,"  3691 Bede (1982 FT)",Y,N,0,4.3,,,,,2.36
20003752,"  3752 Camillo (1985 PA)",Y,N,0,2.306,,,,,1.68
20003753,"  3753 Cruithne (1986 TO)",Y,N,0,2.071,,,,,0.997
20003757,"  3757 Anagolay (1982 XB)",Y,Y,0,0.5,,0.859,0.522,,2.48
20003908,"  3908 Nyx (1980 PA)",Y,N,0,1.0,,,,,2.68
20003988,"  3988 Huma (1986 LA)",Y,N,0,0.7,,,,,1.92
20004015,"  4015 Wilson-Harrington (1979 VA)",Y,Y,0,4,,0.666,0.279,,4.25
20004034,"  4034 Vishnu (1986 PA)",Y,Y,0,0.42,,,,,1.09
20004055,"  4055 Magellan (1985 DO2)",Y,N,0,2.49,,,,,2.46
20004179,"  4179 Toutatis (1989 AC)",Y,Y,0,5.4,,,,,4.06
