"spkid","full_name","neo","pha","sats","diameter","GM","BV","UB","IR","per_y"
20000001,"     1 Ceres (A801 AA)",N,N,0,939.4,62.6284,0.713,0.426,,4.6
20000002,"     2 Pallas (A802 FA)",N,N,0,513,13.63,0.635,0.284,,4.61
20000003,"     3 Juno (A804 RA)",N,N,0,246.596,,0.824,0.433,,4.36
20000004,"     4 Vesta (A807 FA)",N,N,0,525.4,17.288245,0.782,0.492,,3.63
20000005,"     5 Astraea (A845 XA)",N,N,0,106.699,,0.826,0.411,,4.14
20000006,"     6 Hebe (A847 NA)",N,N,0,185.18,,0.822,0.399,,3.78
20000007,"     7 Iris (A847 PA)",N,N,0,199.83,,0.855,0.484,,3.69
20000008,"     8 Flora (A847 UA)",N,N,0,147.491,,0.885,0.489,,3.27
20000009,"     9 Metis (A848 HA)",N,N,0,190,,0.858,0.496,,3.69
20000010,"    10 Hygiea (A849 GA)",N,N,0,407.12,7.,0.696,0.351,,5.57
20000011,"    11 Parthenope (A850 JA)",N,N,0,142.887,,0.837,0.417,,3.84
20000012,"    12 Victoria (A850 RA)",N,N,0,115.087,,0.874,0.515,,3.57
20000013,"    13 Egeria (A850 VA)",N,N,0,202.636,,0.745,0.452,,4.14
20000014,"    14 Irene (A851 KA)",N,N,0,152,,0.833,0.388,,4.17
20000015,"    15 Eunomia (A851 OA)",N,N,0,231.689,,0.839,0.451,,4.3
20000016,"    16 Psyche (A852 FA)",N,N,0,222,1.53,0.729,0.299,,5
20000017,"    17 Thetis (A852 HA)",N,N,0,84.899,,0.829,0.438,,3.88
20000018,"    18 Melpomene (A852 MA)",N,N,0,139.594,,0.854,0.425,,3.48
20000019,"    19 Fortuna (A852 QA)",N,N,0,200,,0.719,0.324,,3.82
20000020,"    20 Massalia (A852 SA)",N,N,0,135.680,,0.854,0.463,,3.74
20000021,"    21 Lutetia (A852 VA)",N,N,0,95.76,,0.686,0.189,,3.8
20000022,"    22 Kalliope (A852 WA)",N,N,1,167.536,0.491,0.715,0.234,,4.97
20000023,"    23 Thalia (A852 XA)",N,N,0,107.53,,0.859,0.442,,4.26
20000024,"    24 Themis (A853 GA)",N,N,0,198,,0.684,0.336,,5.57
20000025,"    25 Phocaea (A853 GB)",N,N,0,61.054,,0.932,0.513,,3.72
20000026,"    26 Proserpina (A853 JA)",N,N,0,94.80,,0.891,0.525,,4.33
20000027,"    27 Euterpe (A853 VA)",N,N,0,96,,0.878,0.502,,3.6
20000028,"    28 Bellona (A854 EA)",N,N,0,120.90,,0.845,0.469,,4.63
20000029,"    29 Amphitrite (A854 EB)",N,N,0,189.559,,0.838,0.449,,4.08
20000030,"    30 Urania (A854 OA)",N,N,0,92.787,,0.873,0.459,,3.64
20000031,"    31 Euphrosyne (A854 RA)",N,N,1,267.080,,0.687,0.317,,5.62
20000032,"    32 Pomona (A854 UA)",N,N,0,80.76,,0.857,0.429,,4.16
20000033,"    33 Polyhymnia (A854 UB)",N,N,0,52.929,,0.848,0.438,,4.87
20000034,"    34 Circe (A855 GA)",N,N,0,132.992,,0.707,0.357,,4.4
20000035,"    35 Leukothea (A855 HA)",N,N,0,103.055,,0.703,0.335,,5.22
20000036,"    36 Atalante (A855 TA)",N,N,0,132.842,,0.713,0.363,,4.55
20000037,"    37 Fides (A855 TB)",N,N,0,108.35,,0.843,0.414,,4.29
20000038,"    38 Leda (A856 AA)",N,N,0,92.255,,0.726,0.419,,4.54
20000039,"    39 Laetitia (A856 CA)",N,N,0,179.484,,0.898,0.494,,4.61
20000040,"    40 Harmonia (A856 FA)",N,N,0,111.251,,0.854,0.432,,3.41
20000041,"    41 Daphne (A856 KA)",N,N,1,205.495,,0.726,0.363,,4.61
20000042,"    42 Isis (A856 KB)",N,N,0,110.997,,0.874,0.462,,3.82
20000043,"    43 Ariadne (A857 GA)",N,N,0,71.340,,0.863,0.490,,3.27
20000044,"    44 Nysa (A857 KA)",N,N,0,70.64,,0.703,0.245,,3.77
20000045,"    45 Eugenia (A857 MA)",N,N,2,202.327,,0.676,0.274,,4.49
20000046,"    46 Hestia (A857 QA)",N,N,0,131.471,,0.692,0.226,,4.01
20000047,"    47 Aglaja (A857 RA)",N,N,0,168.174,,0.665,0.300,,4.9
20000048,"    48 Doris (A857 SA)",N,N,0,216.473,,0.716,0.442,,5.49
20000049,"    49 Pales (A857 SB)",N,N,0,166.252,,0.749,0.411,,5.46
20000050,"    50 Virginia (A857 TA)",N,N,0,84.074,,0.703,0.347,,4.32
20000051,"    51 Nemausa (A858 BA)",N,N,0,138.159,,0.789,0.482,,3.64
20000052,"    52 Europa (A858 CA)",N,N,0,303.918,,0.679,0.338,,5.44
20000053,"    53 Kalypso (A858 GA)",N,N,0,97.262,,0.705,0.318,,4.24
20000054,"    54 Alexandra (A858 RA)",N,N,0,160.120,,0.727,0.357,,4.47
20000055,"    55 Pandora (A858 RB)",N,N,0,84.794,,0.704,0.242,,4.58
20000056,"    56 Melete (A857 RB)",N,N,0,121.333,,0.697,0.312,,4.19
20000057,"    57 Mnemosyne (A859 SA)",N,N,0,112.59,,0.817,0.410,,5.6
20000058,"    58 Concordia (A860 FA)",N,N,0,106.517,,0.690,0.370,,4.44
20000059,"    59 Elpis (A860 RA)",N,N,0,165.119,,0.662,0.285,,4.47
20000060,"    60 Echo (A860 RB)",N,N,0,43.218,,0.854,0.452,,3.7
20000061,"    61 Danae (A860 RC)",N,N,0,85.937,,0.852,0.402,,5.16
20000062,"    62 Erato (A860 RD)",N,N,0,106.921,,0.708,0.378,,5.54
20000063,"    63 Ausonia (A861 CA)",N,N,0,116.044,,0.916,0.500,,3.71
20000064,"    64 Angelina (A861 EA)",N,N,0,58.292,,0.734,0.254,,4.39
20000065,"    65 Cybele (A861 EB)",N,N,0,237.26,,0.690,0.271,,6.3
20000066,"    66 Maja (A861 GA)",N,N,0,71.82,,0.697,0.360,,4.3
20000067,"    67 Asia (A861 HA)",N,N,0,56.309,,0.861,0.434,,3.77
20000068,"    68 Leto (A861 HB)",N,N,0,122.509,,0.845,0.488,,4.64
20000069,"    69 Hesperia (A861 HC)",N,N,0,138.13,,0.674,0.230,,5.14
20000070,"    70 Panopaea (A861 JA)",N,N,0,127.911,,0.740,0.390,,4.23
20000071,"    71 Niobe (A861 PA)",N,N,0,83.42,,0.803,0.439,,4.57
20000072,"    72 Feronia (A861 KA)",N,N,0,74.966,,0.785,0.375,,3.41
20000073,"    73 Klytia (A862 GA)",N,N,0,44.590,,,,,4.35
20000074,"    74 Galatea (A862 QA)",N,N,0,118.71,,0.686,0.320,,4.64
20000075,"    75 Eurydike (A862 SA)",N,N,0,62.377,,0.710,0.266,,4.38
20000076,"    76 Freia (A862 UA)",N,N,0,145.423,,0.704,0.298,,6.3
20000077,"    77 Frigga (A862 VA)",N,N,0,61.390,,0.746,0.249,,4.36
20000078,"    78 Diana (A863 EA)",N,N,0,120.60,,0.713,0.380,,4.25
20000079,"    79 Eurynome (A863 RA)",N,N,0,63.479,,0.874,0.421,,3.82
20000080,"    80 Sappho (A864 JA)",N,N,0,68.563,,0.901,0.523,,3.48
20000081,"    81 Terpsichore (A864 SA)",N,N,0,117.727,,0.701,0.346,,4.82
20000082,"    82 Alkmene (A864 WA)",N,N,0,57.621,,0.814,0.380,,4.59
20000083,"    83 Beatrix (A865 HA)",N,N,0,110.503,,0.704,0.266,,3.79
20000084,"    84 Klio (A865 QA)",N,N,0,79.16,,0.733,0.445,,3.63
20000085,"    85 Io (A865 SA)",N,N,0,154.79,,0.668,0.294,,4.32
20000086,"    86 Semele (A866 AA)",N,N,0,109.929,,0.703,0.321,,5.47
20000087,"    87 Sylvia (A866 KA)",N,N,2,253.051,,0.710,0.251,,6.48
20000088,"    88 Thisbe (A866 LA)",N,N,0,232,,0.681,0.305,,4.61
20000089,"    89 Julia (A866 PA)",N,N,0,145.483,,0.859,0.442,,4.08
20000090,"    90 Antiope (A866 TA)",N,N,1,115.974,,0.688,0.317,,5.58
20000091,"    91 Aegina (A866 VA)",N,N,0,103.402,,0.724,0.317,,4.17
20000092,"    92 Undina (A867 NA)",N,N,0,126.42,,0.725,0.275,,5.68
20000093,"    93 Minerva (A867 QA)",N,N,2,154.155,,0.685,0.315,,4.57
20000094,"    94 Aurora (A867 RA)",N,N,0,204.89,,0.663,0.301,,5.6
20000095,"    95 Arethusa (A867 WA)",N,N,0,147.969,,0.711,0.374,,5.36
20000096,"    96 Aegle (A868 DA)",N,N,0,177.774,,0.775,0.337,,5.33
20000097,"    97 Klotho (A868 DB)",N,N,0,100.717,,0.716,0.226,,4.36
20000098,"    98 Ianthe (A868 HA)",N,N,0,132.788,,0.749,0.375,,4.4
20000099,"    99 Dike (A868 KA)",N,N,0,67.354,,0.703,0.322,,4.35
20000100,"   100 Hekate (A868 NA)",N,N,0,85.734,,0.838,0.363,,5.43
20000101,"   101 Helena (A868 PA)",N,N,0,65.84,,0.854,0.426,,4.15
20000102,"   102 Miriam (A868 QA)",N,N,0,82.595,,0.726,0.371,,4.34
20000103,"   103 Hera (A868 RA)",N,N,0,83.908,,0.853,0.441,,4.45
20000104,"   104 Klymene (A868 RB)",N,N,0,136.553,,0.688,0.340,,5.57
20000105,"   105 Artemis (A868 SA)",N,N,0,94.864,,0.693,0.317,,3.66
20000106,"   106 Dione (A868 TA)",N,N,0,207.869,,0.743,0.464,,5.68
20000107,"   107 Camilla (A868 WA)",N,N,2,210.370,0.7475,0.705,0.298,,6.51
20000108,"   108 Hecuba (A869 GB)",N,N,0,75.498,,0.855,0.502,,5.81
20000109,"   109 Felicitas (A869 TA)",N,N,0,82.588,,0.696,0.408,,4.42
20000110,"   110 Lydia (A870 HA)",N,N,0,86.09,,0.705,0.298,,4.52
20000111,"   111 Ate (A870 PA)",N,N,0,126.344,,0.690,0.389,,4.18
20000112,"   112 Iphigenia (A870 SA)",N,N,0,69.818,,0.696,0.284,,3.8
20000113,"   113 Amalthea (A871 EA)",N,N,0,50.137,,0.925,0.521,,3.66
20000114,"   114 Kassandra (A871 OA)",N,N,0,94.178,,0.768,0.269,,4.38
20000115,"   115 Thyra (A871 PA)",N,N,0,79.83,,0.851,0.431,,3.67
20000116,"   116 Sirona (A871 RA)",N,N,0,71.70,,0.873,0.429,,4.61
20000117,"   117 Lomia (A871 RB)",N,N,0,208.974,,0.687,0.306,,5.17
20000118,"   118 Peitho (A872 EA)",N,N,0,40.211,,0.859,0.433,,3.81
20000119,"   119 Althaea (A872 GA)",N,N,0,57.30,,0.874,0.342,,4.15
20000120,"   120 Lachesis (A872 GB)",N,N,0,155.132,,0.707,0.383,,5.53
20000121,"   121 Hermione (A872 JA)",N,N,1,209.00,,0.739,0.425,,6.42
20000122,"   122 Gerda (A872 OA)",N,N,0,70.676,,0.776,0.410,,5.81
20000123,"   123 Brunhild (A872 OB)",N,N,0,45.209,,0.850,0.395,,4.42
20000124,"   124 Alkeste (A872 QA)",N,N,0,88.648,,0.844,0.424,,4.26
20000125,"   125 Liberatrix (A872 RA)",N,N,0,48.418,,0.705,0.239,,4.54
20000126,"   126 Velleda (A872 VA)",N,N,0,44.82,,0.865,0.496,,3.81
20000127,"   127 Johanna (A872 VB)",N,N,0,122,,,,,4.58
20000128,"   128 Nemesis (A872 WA)",N,N,0,162.515,,0.685,0.392,,4.56
20000129,"   129 Antigone (A873 CA)",N,N,0,113,,0.717,0.245,,4.86
20000130,"   130 Elektra (A873 DA)",N,N,3,180.652,,0.753,0.483,,5.52
20000131,"   131 Vala (A873 KA)",N,N,0,31.337,,0.829,0.402,,3.79
20000132,"   132 Aethra (A873 LA)",N,N,0,42.87,,0.673,0.188,,4.22
20000133,"   133 Cyrene (A873 QA)",N,N,0,72.175,,0.907,0.510,,5.37
20000134,"   134 Sophrosyne (A873 SA)",N,N,0,108,,0.690,0.322,,4.1
20000135,"   135 Hertha (A874 DA)",N,N,0,79.24,,0.698,0.269,,3.78
20000136,"   136 Austria (A874 FA)",N,N,0,36.893,,0.752,0.247,,3.46
20000137,"   137 Meliboea (A874 HA)",N,N,0,128.678,,0.689,0.326,,5.52
20000138,"   138 Tolosa (A874 KA)",N,N,0,52.905,,0.877,0.490,,3.83
20000139,"   139 Juewa (A874 TA)",N,N,0,151.116,,0.693,0.287,,4.65
